"subject" "activity"
"1" 2 "standing"
"2" 2 "standing"
"3" 2 "standing"
"4" 2 "standing"
"5" 2 "standing"
"6" 2 "standing"
"7" 2 "standing"
"8" 2 "standing"
"9" 2 "standing"
"10" 2 "standing"
"11" 2 "standing"
"12" 2 "standing"
"13" 2 "standing"
"14" 2 "standing"
"15" 2 "standing"
"16" 2 "standing"
"17" 2 "standing"
"18" 2 "standing"
"19" 2 "standing"
"20" 2 "standing"
"21" 2 "standing"
"22" 2 "standing"
"23" 2 "standing"
"24" 2 "standing"
"25" 2 "standing"
"26" 2 "standing"
"27" 2 "standing"
"28" 2 "standing"
"29" 2 "standing"
"30" 2 "standing"
"31" 2 "standing"
"32" 2 "sitting"
"33" 2 "sitting"
"34" 2 "sitting"
"35" 2 "sitting"
"36" 2 "sitting"
"37" 2 "sitting"
"38" 2 "sitting"
"39" 2 "sitting"
"40" 2 "sitting"
"41" 2 "sitting"
"42" 2 "sitting"
"43" 2 "sitting"
"44" 2 "sitting"
"45" 2 "sitting"
"46" 2 "sitting"
"47" 2 "sitting"
"48" 2 "sitting"
"49" 2 "sitting"
"50" 2 "sitting"
"51" 2 "sitting"
"52" 2 "sitting"
"53" 2 "sitting"
"54" 2 "sitting"
"55" 2 "sitting"
"56" 2 "laying"
"57" 2 "laying"
"58" 2 "laying"
"59" 2 "laying"
"60" 2 "laying"
"61" 2 "laying"
"62" 2 "laying"
"63" 2 "laying"
"64" 2 "laying"
"65" 2 "laying"
"66" 2 "laying"
"67" 2 "laying"
"68" 2 "laying"
"69" 2 "laying"
"70" 2 "laying"
"71" 2 "laying"
"72" 2 "laying"
"73" 2 "laying"
"74" 2 "laying"
"75" 2 "laying"
"76" 2 "laying"
"77" 2 "laying"
"78" 2 "laying"
"79" 2 "laying"
"80" 2 "walking"
"81" 2 "walking"
"82" 2 "walking"
"83" 2 "walking"
"84" 2 "walking"
"85" 2 "walking"
"86" 2 "walking"
"87" 2 "walking"
"88" 2 "walking"
"89" 2 "walking"
"90" 2 "walking"
"91" 2 "walking"
"92" 2 "walking"
"93" 2 "walking"
"94" 2 "walking"
"95" 2 "walking"
"96" 2 "walking"
"97" 2 "walking"
"98" 2 "walking"
"99" 2 "walking"
"100" 2 "walking"
"101" 2 "walking"
"102" 2 "walking"
"103" 2 "walking"
"104" 2 "walking"
"105" 2 "walking"
"106" 2 "walking"
"107" 2 "walking"
"108" 2 "walking"
"109" 2 "walking"
"110" 2 "walkingDownstairs"
"111" 2 "walkingDownstairs"
"112" 2 "walkingDownstairs"
"113" 2 "walkingDownstairs"
"114" 2 "walkingDownstairs"
"115" 2 "walkingDownstairs"
"116" 2 "walkingDownstairs"
"117" 2 "walkingDownstairs"
"118" 2 "walkingDownstairs"
"119" 2 "walkingDownstairs"
"120" 2 "walkingDownstairs"
"121" 2 "walkingDownstairs"
"122" 2 "walkingDownstairs"
"123" 2 "walkingDownstairs"
"124" 2 "walkingDownstairs"
"125" 2 "walkingDownstairs"
"126" 2 "walkingDownstairs"
"127" 2 "walkingDownstairs"
"128" 2 "walkingDownstairs"
"129" 2 "walkingDownstairs"
"130" 2 "walkingDownstairs"
"131" 2 "walkingDownstairs"
"132" 2 "walkingDownstairs"
"133" 2 "walkingDownstairs"
"134" 2 "walkingUpstairs"
"135" 2 "walkingUpstairs"
"136" 2 "walkingUpstairs"
"137" 2 "walkingUpstairs"
"138" 2 "walkingUpstairs"
"139" 2 "walkingUpstairs"
"140" 2 "walkingUpstairs"
"141" 2 "walkingUpstairs"
"142" 2 "walkingUpstairs"
"143" 2 "walkingUpstairs"
"144" 2 "walkingUpstairs"
"145" 2 "walkingUpstairs"
"146" 2 "walkingUpstairs"
"147" 2 "walkingUpstairs"
"148" 2 "walkingUpstairs"
"149" 2 "walkingUpstairs"
"150" 2 "walkingUpstairs"
"151" 2 "walkingUpstairs"
"152" 2 "walkingUpstairs"
"153" 2 "walkingUpstairs"
"154" 2 "walkingUpstairs"
"155" 2 "walkingUpstairs"
"156" 2 "walkingUpstairs"
"157" 2 "walkingUpstairs"
"158" 2 "walkingUpstairs"
"159" 2 "standing"
"160" 2 "standing"
"161" 2 "standing"
"162" 2 "standing"
"163" 2 "standing"
"164" 2 "standing"
"165" 2 "standing"
"166" 2 "standing"
"167" 2 "standing"
"168" 2 "standing"
"169" 2 "standing"
"170" 2 "standing"
"171" 2 "standing"
"172" 2 "standing"
"173" 2 "standing"
"174" 2 "standing"
"175" 2 "standing"
"176" 2 "standing"
"177" 2 "standing"
"178" 2 "standing"
"179" 2 "standing"
"180" 2 "standing"
"181" 2 "standing"
"182" 2 "sitting"
"183" 2 "sitting"
"184" 2 "sitting"
"185" 2 "sitting"
"186" 2 "sitting"
"187" 2 "sitting"
"188" 2 "sitting"
"189" 2 "sitting"
"190" 2 "sitting"
"191" 2 "sitting"
"192" 2 "sitting"
"193" 2 "sitting"
"194" 2 "sitting"
"195" 2 "sitting"
"196" 2 "sitting"
"197" 2 "sitting"
"198" 2 "sitting"
"199" 2 "sitting"
"200" 2 "sitting"
"201" 2 "sitting"
"202" 2 "sitting"
"203" 2 "sitting"
"204" 2 "laying"
"205" 2 "laying"
"206" 2 "laying"
"207" 2 "laying"
"208" 2 "laying"
"209" 2 "laying"
"210" 2 "laying"
"211" 2 "laying"
"212" 2 "laying"
"213" 2 "laying"
"214" 2 "laying"
"215" 2 "laying"
"216" 2 "laying"
"217" 2 "laying"
"218" 2 "laying"
"219" 2 "laying"
"220" 2 "laying"
"221" 2 "laying"
"222" 2 "laying"
"223" 2 "laying"
"224" 2 "laying"
"225" 2 "laying"
"226" 2 "laying"
"227" 2 "laying"
"228" 2 "walking"
"229" 2 "walking"
"230" 2 "walking"
"231" 2 "walking"
"232" 2 "walking"
"233" 2 "walking"
"234" 2 "walking"
"235" 2 "walking"
"236" 2 "walking"
"237" 2 "walking"
"238" 2 "walking"
"239" 2 "walking"
"240" 2 "walking"
"241" 2 "walking"
"242" 2 "walking"
"243" 2 "walking"
"244" 2 "walking"
"245" 2 "walking"
"246" 2 "walking"
"247" 2 "walking"
"248" 2 "walking"
"249" 2 "walking"
"250" 2 "walking"
"251" 2 "walking"
"252" 2 "walking"
"253" 2 "walking"
"254" 2 "walking"
"255" 2 "walking"
"256" 2 "walking"
"257" 2 "walkingDownstairs"
"258" 2 "walkingDownstairs"
"259" 2 "walkingDownstairs"
"260" 2 "walkingDownstairs"
"261" 2 "walkingDownstairs"
"262" 2 "walkingDownstairs"
"263" 2 "walkingDownstairs"
