"subject" "activity"
"1" 1 "laying"
"2" 1 "sitting"
"3" 1 "standing"
"4" 1 "walking"
"5" 1 "walkingDownstairs"
"6" 1 "walkingUpstairs"
"7" 2 "laying"
"8" 2 "sitting"
"9" 2 "standing"
"10" 2 "walking"
"11" 2 "walkingDownstairs"
"12" 2 "walkingUpstairs"
"13" 3 "laying"
"14" 3 "sitting"
"15" 3 "standing"
"16" 3 "walking"
"17" 3 "walkingDownstairs"
"18" 3 "walkingUpstairs"
"19" 4 "laying"
"20" 4 "sitting"
"21" 4 "standing"
"22" 4 "walking"
"23" 4 "walkingDownstairs"
"24" 4 "walkingUpstairs"
"25" 5 "laying"
"26" 5 "sitting"
"27" 5 "standing"
"28" 5 "walking"
"29" 5 "walkingDownstairs"
"30" 5 "walkingUpstairs"
"31" 6 "laying"
"32" 6 "sitting"
"33" 6 "standing"
"34" 6 "walking"
"35" 6 "walkingDownstairs"
"36" 6 "walkingUpstairs"
"37" 7 "laying"
"38" 7 "sitting"
"39" 7 "standing"
"40" 7 "walking"
"41" 7 "walkingDownstairs"
"42" 7 "walkingUpstairs"
"43" 8 "laying"
"44" 8 "sitting"
"45" 8 "standing"
"46" 8 "walking"
"47" 8 "walkingDownstairs"
"48" 8 "walkingUpstairs"
"49" 9 "laying"
"50" 9 "sitting"
"51" 9 "standing"
"52" 9 "walking"
"53" 9 "walkingDownstairs"
"54" 9 "walkingUpstairs"
"55" 10 "laying"
"56" 10 "sitting"
"57" 10 "standing"
"58" 10 "walking"
"59" 10 "walkingDownstairs"
"60" 10 "walkingUpstairs"
"61" 11 "laying"
"62" 11 "sitting"
"63" 11 "standing"
"64" 11 "walking"
"65" 11 "walkingDownstairs"
"66" 11 "walkingUpstairs"
"67" 12 "laying"
"68" 12 "sitting"
"69" 12 "standing"
"70" 12 "walking"
"71" 12 "walkingDownstairs"
"72" 12 "walkingUpstairs"
"73" 13 "laying"
"74" 13 "sitting"
"75" 13 "standing"
"76" 13 "walking"
"77" 13 "walkingDownstairs"
"78" 13 "walkingUpstairs"
"79" 14 "laying"
"80" 14 "sitting"
"81" 14 "standing"
"82" 14 "walking"
"83" 14 "walkingDownstairs"
"84" 14 "walkingUpstairs"
"85" 15 "laying"
"86" 15 "sitting"
"87" 15 "standing"
"88" 15 "walking"
"89" 15 "walkingDownstairs"
"90" 15 "walkingUpstairs"
"91" 16 "laying"
"92" 16 "sitting"
"93" 16 "standing"
"94" 16 "walking"
"95" 16 "walkingDownstairs"
"96" 16 "walkingUpstairs"
"97" 17 "laying"
"98" 17 "sitting"
"99" 17 "standing"
"100" 17 "walking"
"101" 17 "walkingDownstairs"
"102" 17 "walkingUpstairs"
"103" 18 "laying"
"104" 18 "sitting"
"105" 18 "standing"
"106" 18 "walking"
"107" 18 "walkingDownstairs"
"108" 18 "walkingUpstairs"
"109" 19 "laying"
"110" 19 "sitting"
"111" 19 "standing"
"112" 19 "walking"
"113" 19 "walkingDownstairs"
"114" 19 "walkingUpstairs"
"115" 20 "laying"
"116" 20 "sitting"
"117" 20 "standing"
"118" 20 "walking"
"119" 20 "walkingDownstairs"
"120" 20 "walkingUpstairs"
"121" 21 "laying"
"122" 21 "sitting"
"123" 21 "standing"
"124" 21 "walking"
"125" 21 "walkingDownstairs"
"126" 21 "walkingUpstairs"
"127" 22 "laying"
"128" 22 "sitting"
"129" 22 "standing"
"130" 22 "walking"
"131" 22 "walkingDownstairs"
"132" 22 "walkingUpstairs"
"133" 23 "laying"
"134" 23 "sitting"
"135" 23 "standing"
"136" 23 "walking"
"137" 23 "walkingDownstairs"
"138" 23 "walkingUpstairs"
"139" 24 "laying"
"140" 24 "sitting"
"141" 24 "standing"
"142" 24 "walking"
"143" 24 "walkingDownstairs"
"144" 24 "walkingUpstairs"
"145" 25 "laying"
"146" 25 "sitting"
"147" 25 "standing"
"148" 25 "walking"
"149" 25 "walkingDownstairs"
"150" 25 "walkingUpstairs"
"151" 26 "laying"
"152" 26 "sitting"
"153" 26 "standing"
"154" 26 "walking"
"155" 26 "walkingDownstairs"
"156" 26 "walkingUpstairs"
"157" 27 "laying"
"158" 27 "sitting"
"159" 27 "standing"
"160" 27 "walking"
"161" 27 "walkingDownstairs"
"162" 27 "walkingUpstairs"
"163" 28 "laying"
"164" 28 "sitting"
"165" 28 "standing"
"166" 28 "walking"
"167" 28 "walkingDownstairs"
"168" 28 "walkingUpstairs"
"169" 29 "laying"
"170" 29 "sitting"
"171" 29 "standing"
"172" 29 "walking"
"173" 29 "walkingDownstairs"
"174" 29 "walkingUpstairs"
"175" 30 "laying"
"176" 30 "sitting"
"177" 30 "standing"
"178" 30 "walking"
"179" 30 "walkingDownstairs"
"180" 30 "walkingUpstairs"
